month,d18O_MSUD_anomaly,d18O_SMII_anomaly,sss_anomaly
2021-02,-0.6741357808181814,0.0398181818181813,-0.2055157272727257
2021-03,-0.1612435898000002,-0.2272999999999996,0.3042759000000004
2021-04,-0.1716064098999998,-0.2546833336,-0.2891550000000009
2021-05,-0.0757307689999997,-0.3715249999999996,-0.0376179000000007
2021-06,0.1666897436000005,-0.2473999996999998,0.0676835000000011
2021-07,0.1386615383,0.0194249995999991,-0.1864470000000011
2021-08,0.0298945224545459,0.1618999999999992,0.1193400000000011
2021-09,-0.1703852565000003,0.1539333334000003,-0.0133255000000005
2021-10,-0.1608183764444439,0.1587666669000005,-0.2253161000000076
2021-11,-0.1870038459000005,0.2147000000000001,-0.2132705000000001
2021-12,-0.2680085469999995,0.1895666670000002,2.950000000367936e-05
2022-01,-0.1813512821,0.2392083328999996,0.0827215999999992
