Date_MSUD,d18O_MSUD_anomaly,Date_SMII,d18O_SMII_anomaly
2017-02-15,0.04994114218181833,2021-01-15,-0.1078750001000004
2017-01-15,0.28564871789999957,2021-02-15,0.03981818181818131
2016-12-15,0.3669914530000007,2021-03-15,-0.2272999999999996
2016-11-15,0.3173294870999994,2021-04-15,-0.25468333360000006
2016-10-15,0.187598290555556,2021-05-15,-0.37152499999999966
2016-09-15,0.02861474349999993,2021-06-15,-0.24739999969999982
2016-08-15,0.06797785545454582,2021-07-15,0.019424999599999104
2016-08-15,0.021227855454545974,2021-08-15,0.16189999999999927
2016-07-15,0.021828205300000292,2021-09-15,0.15393333340000037
2016-06-15,0.019689743600000753,2021-10-15,0.15876666690000052
2016-05-15,0.17485256400000004,2021-11-15,0.2147000000000001
2016-04-15,0.26022692309999984,2021-12-15,0.18956666700000024
2016-03-15,0.21750641019999994,2022-01-15,0.23920833289999965
2016-02-15,0.21286421918181864,2022-02-15,0.25481818181818117
2016-01-15,0.10931538489999992,2022-03-15,0.23911666700000023
2015-12-15,0.18865812000000037,2022-04-15,0.1369833333999999
2015-11-15,0.1838294870999997,2022-05-15,0.09847500000000009
2015-10-15,0.12651495755555597,2022-06-15,0.05860000030000023
2015-09-15,0.06911474349999969,2022-07-15,-0.14174166640000063
2015-08-15,0.01622785545454608,2022-08-15,-0.10910000000000064
2015-07-15,-0.04367179469999982,2022-09-15,-0.05864999960000006
2015-06-15,-0.04731025639999942,2022-10-15,-0.05890000009999952
2015-05-15,-0.15889743599999973,2022-11-15,-0.08429999999999982
2015-04-15,-0.17427307690000005,2022-12-15,-0.13043333300000004
2015-03-15,-0.05107692280000009,2023-01-15,0.022374999899999803
2015-02-15,0.3078642191818184,2023-02-15,-0.04818181818181877
2015-01-15,0.23289871789999994,2023-03-15,0.17445000000000022
2014-12-15,0.3543247860000007,2023-04-15,0.2794833334
2014-11-15,0.1240794870999995,2023-05-15,0.24247500000000022
2014-10-15,-0.003485042444444364,2023-06-15,0.1839333333000006
2014-09-15,-0.02638525650000023,2023-07-15,-0.13015833340000071
2014-08-15,-0.03977214454545397,2023-08-15,-0.20860000000000056
2014-07-15,-0.12708846169999966,2023-09-15,-0.23806666659999998
2014-06-15,-0.19797692339999973,2023-10-15,-0.03690000009999972
2014-05-15,-0.12214743599999967,2023-11-15,-0.1815500000000001
2014-04-15,-0.2547730769000003,2023-12-15,-0.1400999999999999
2014-03-15,-0.2779935897999999,2024-01-15,-0.14487500010000032
2014-02-15,-0.1671357808181817,2024-02-15,0.10581818181818159
