time,sss
11/1/18,39.33392334
11/8/18,39.85949707
11/15/18,39.71746063
11/22/18,39.4163208
11/29/18,39.15620804
12/6/18,39.17603302
12/13/18,39.46244431
12/20/18,39.17565536
12/27/18,39.3110733
1/3/19,38.44446182
1/10/19,38.83955002
1/17/19,38.75313568
1/24/19,38.8373642
1/31/19,39.1785965
2/7/19,39.283535
2/14/19,38.93613434
2/21/19,39.11266708
2/28/19,38.98582458
3/7/19,38.73234558
3/14/19,38.33206177
3/21/19,38.07104111
3/28/19,38.64981842
4/4/19,38.94689941
4/11/19,38.54615402
4/18/19,38.89386749
4/25/19,38.87979507
5/2/19,38.91539764
5/9/19,39.24578476
5/16/19,39.28810883
5/23/19,39.4153862
5/30/19,38.47169876
6/6/19,38.32188416
6/13/19,39.07080078
6/20/19,38.62933731
6/27/19,38.43327713
7/4/19,39.647686
7/11/19,39.19145966
7/18/19,38.49811554
7/25/19,38.99797821
8/1/19,38.66485214
8/8/19,39.33343506
8/15/19,39.44462204
8/22/19,39.56879807
8/29/19,39.90744781
9/5/19,40.20180511
9/12/19,39.93611145
9/19/19,39.03394318
9/26/19,38.78878021
10/3/19,39.25738144
10/10/19,38.88383865
10/17/19,39.17142105
10/24/19,39.39492035
10/31/19,39.29418564
11/7/19,39.0357666
11/14/19,38.90341568
11/21/19,38.7448349
11/28/19,38.93134308
12/5/19,38.91479111
12/12/19,38.6425209
12/19/19,39.044487
12/26/19,38.74533081
1/2/20,38.43728256
1/9/20,38.7952919
1/16/20,38.39841843
1/23/20,39.08826828
1/30/20,38.91297913
2/6/20,38.4050293
2/13/20,39.38616943
2/20/20,38.9199028
2/27/20,38.61758041
3/5/20,39.11199188
3/12/20,38.66408539
3/19/20,38.11712265
3/26/20,38.1333847
4/2/20,38.1638031
4/9/20,38.37212372
4/16/20,38.25736237
4/23/20,38.71339035
4/30/20,38.96247482
5/7/20,38.93665695
5/14/20,38.83657455
5/21/20,38.22615814
5/28/20,38.00775528
6/4/20,38.58620071
6/11/20,38.36266708
6/18/20,38.17067337
6/25/20,38.29024124
7/2/20,38.45732117
7/9/20,38.411026
7/16/20,37.99726868
7/23/20,38.29054642
7/30/20,38.57434845
8/6/20,38.49457932
8/13/20,38.64484024
8/20/20,38.95929718
8/27/20,39.39219284
9/3/20,38.94102859
9/10/20,39.47333145
9/17/20,39.94309616
9/24/20,39.87624359
10/1/20,39.6622467
10/8/20,39.20269394
10/15/20,39.27151108
10/22/20,39.48185349
10/29/20,38.9128952
11/5/20,38.92710495
11/12/20,38.34747314
11/19/20,39.07902908
11/26/20,39.13645172
12/3/20,38.70049667
12/10/20,39.13585663
12/17/20,39.00539398
12/24/20,39.13384628
12/31/20,39.22945786
1/7/21,38.82573318
1/14/21,39.23827744
1/21/21,39.30578995
1/28/21,38.62197113
2/4/21,38.79771423
2/11/21,39.07187653
2/18/21,38.91184235
2/25/21,38.95349503
3/4/21,39.37901688
3/11/21,39.18245697
3/18/21,38.97325134
3/25/21,38.76402664
4/1/21,38.38851166
4/8/21,38.29380417
4/15/21,38.42871857
4/22/21,38.35222626
4/29/21,38.59353638
5/6/21,38.38604736
5/13/21,38.92564774
5/20/21,38.6905899
5/27/21,
6/3/21,38.57248306
6/10/21,38.52526474
6/17/21,38.51833344
6/24/21,39.3317337
7/1/21,38.48833084
7/8/21,38.45497513
7/15/21,38.21636963
7/22/21,38.74631882
7/29/21,38.61296082
8/5/21,38.78124619
8/12/21,39.194664
8/19/21,39.30252457
8/26/21,39.47911835
9/2/21,39.13837814
9/9/21,39.27701187
9/16/21,39.77946472
9/23/21,39.58749008
9/30/21,39.08844757
10/7/21,38.78591919
10/14/21,38.92049026
10/21/21,38.92852402
10/28/21,39.33317947
11/4/21,39.13855743
11/11/21,38.88203812
11/18/21,38.90707779
11/25/21,38.96515656
12/2/21,38.9616127
12/9/21,38.92856216
12/16/21,38.52265167
12/23/21,39.80114746
12/30/21,39.43777084
1/6/22,39.12715912
1/13/22,39.03379059
1/20/22,39.02928543
1/27/22,39.05381012
2/3/22,39.13129807
2/10/22,38.97496033
2/17/22,39.22245026
2/24/22,39.31151199
3/3/22,38.5619278
3/10/22,38.76424789
3/17/22,38.67941284
3/24/22,38.48966217
3/31/22,38.65774918
4/7/22,38.0800972
4/14/22,37.8614502
4/21/22,38.33311844
4/28/22,38.59912491
5/5/22,38.47200394
5/12/22,38.52812195
5/19/22,38.47314453
5/26/22,38.71272278
6/2/22,38.91731644
6/9/22,38.65855789
6/16/22,39.0136261
6/23/22,38.74903107
6/30/22,38.40866852
7/7/22,38.96446991
7/14/22,38.58753204
7/21/22,38.48843384
7/28/22,38.76407623
8/4/22,38.59083176
8/11/22,38.75961304
8/18/22,39.26179504
8/25/22,38.70807648
9/1/22,39.10397339
9/8/22,39.21524048
9/15/22,39.26119614
9/22/22,38.98336792
9/29/22,39.46404266
10/6/22,38.81259537
10/13/22,38.77610397
10/20/22,39.21749496
10/27/22,39.18731308
11/3/22,38.99610519
11/10/22,39.40462875
11/17/22,39.32068634
11/24/22,38.96089172
12/1/22,38.75991058
12/8/22,38.65956879
