time,supplementary_salinity
3/31/2016,38.49936676
4/7/2016,38.63827133
4/14/2016,38.62004089
4/21/2016,38.79623795
4/28/2016,38.86369705
5/5/2016,38.63259125
5/12/2016,38.52416992
5/19/2016,38.38769913
5/26/2016,38.222332
6/2/2016,38.18098831
6/9/2016,38.0927124
6/16/2016,38.23448944
6/23/2016,38.18097687
6/30/2016,38.39183044
7/7/2016,38.62662125
7/14/2016,38.78092575
7/21/2016,38.44688797
7/28/2016,38.97874451
8/4/2016,39.00645828
8/11/2016,38.9297905
8/18/2016,38.72345734
8/25/2016,38.57661057
9/1/2016,38.83050537
9/8/2016,39.21784592
9/15/2016,38.99285126
9/22/2016,39.0208931
9/29/2016,38.64780045
10/6/2016,38.90490341
10/13/2016,39.04392242
10/20/2016,39.14997482
10/27/2016,39.15143585
11/3/2016,38.81111908
11/10/2016,38.96912003
11/17/2016,39.16082764
11/24/2016,38.62839127
12/1/2016,38.88144684
12/8/2016,39.34054565
12/15/2016,39.38838959
12/22/2016,38.62820053
12/29/2016,38.84070206
1/5/2017,38.82453156
1/12/2017,38.86298752
1/19/2017,38.88241959
1/26/2017,38.72946548
2/2/2017,38.80117035
2/9/2017,39.33728027
2/16/2017,39.19242859
2/23/2017,38.77056503
3/2/2017,39.30130386
3/9/2017,39.2873497
3/16/2017,38.9724884
3/23/2017,38.77965927
3/30/2017,38.81088638
4/6/2017,39.04837036
4/13/2017,38.7032814
4/20/2017,38.81803894
4/27/2017,39.08238602
5/4/2017,38.88783646
5/11/2017,39.20850754
5/18/2017,38.79375076
5/25/2017,38.9143219
6/1/2017,38.86542511
6/8/2017,38.50517273
6/15/2017,38.60067749
6/22/2017,38.94048691
6/29/2017,39.27219772
7/6/2017,39.21631241
7/13/2017,38.55405807
7/20/2017,38.56311417
7/27/2017,38.66398239
8/3/2017,38.83310699
8/10/2017,38.51436234
8/17/2017,38.73139191
8/24/2017,39.07806015
8/31/2017,39.45444107
9/7/2017,39.38382339
9/14/2017,39.03203583
9/21/2017,39.18508911
9/28/2017,39.58355713
10/5/2017,39.39445496
10/12/2017,39.2710762
10/19/2017,39.28203201
10/26/2017,38.67464828
11/2/2017,38.32235718
11/9/2017,38.6050415
11/16/2017,39.03091812
11/23/2017,39.19573212
11/30/2017,38.81997299
12/7/2017,38.89873123
12/14/2017,38.54818726
12/21/2017,39.0273056
12/28/2017,39.01211166
1/4/2018,38.6097641
1/11/2018,38.65917587
1/18/2018,38.62040329
1/25/2018,38.80513382
2/1/2018,39.20235825
2/8/2018,39.24380112
2/15/2018,39.42971039
2/22/2018,39.11698914
3/1/2018,39.02233505
3/8/2018,38.50662994
