Time,Salinity
2021-05,38.776527
2021-06,38.753856
2021-07,38.742681
2021-08,39.111588
2021-09,39.252654
2021-10,39.223973
2021-11,39.141835
2021-12,39.161182
2022-01,38.796204
2022-02,38.734308
2022-03,38.586999
2022-04,38.191906
2022-05,38.557523
2022-06,38.722438
2022-07,38.59117
2022-08,39.064377
2022-09,39.258096
2022-10,39.222217
2022-11,39.088227
2022-12,38.939214
2023-01,38.818237
2023-02,38.632293
2023-03,38.46311
2023-04,38.666822
2023-05,38.660261
2023-06,38.702773
2023-07,38.842722
2023-08,38.880242
2023-09,39.197946
2023-10,39.183432
2023-11,39.277713
2023-12,39.318842
